band_lower,band_upper,loans,volume_usd,defaults,observed_default_rate,avg_pd,expected_loss_usd,el_rate
450,459,7,131050.0,6,0.857143,0.73861,60152.669233,0.459005
460,469,251,4700950.0,168,0.669323,0.675962,1975292.72864,0.42019
470,479,2141,41520775.0,1330,0.621205,0.601941,15532910.33386,0.3741
480,489,7718,151085300.0,4314,0.558953,0.520996,48933553.652024,0.32388
490,499,17747,348133700.0,8430,0.47501,0.436577,94504801.481241,0.271461
500,509,30557,577946700.0,12247,0.400792,0.354439,127466028.751932,0.22055
510,519,49598,839309475.0,16852,0.339772,0.279469,146118062.77622,0.174093
520,529,76020,1114113825.0,21430,0.2819,0.215741,149579979.737164,0.134259
530,539,95392,1276002625.0,21551,0.22592,0.16357,129693398.114181,0.10164
540,549,91978,1182396950.0,15843,0.172248,0.121876,89417435.669691,0.075624
550,559,67455,874263675.0,8340,0.123638,0.089507,48531654.925685,0.055511
560,569,40904,551173500.0,3743,0.091507,0.064937,22197446.096155,0.040273
570,579,22448,309969075.0,1408,0.062723,0.046894,9014858.615888,0.029083
580,589,11282,155226600.0,488,0.043255,0.033849,3256772.417051,0.020981
590,599,4275,60184625.0,120,0.02807,0.024496,912732.661018,0.015166
600,609,927,13155425.0,22,0.023732,0.017831,145597.350184,0.011067
610,619,44,626750.0,3,0.068182,0.013326,5221.704213,0.008331
