band_lower,band_upper,loans,volume_usd,defaults,observed_default_rate,avg_pd,expected_loss_usd,el_rate
450,459,19,368025.0,15,0.789474,0.738498,168673.44736,0.458321
460,469,820,14575300.0,546,0.665854,0.676073,6127240.599977,0.420385
470,479,6632,122893650.0,3981,0.600271,0.602503,46017510.370403,0.37445
480,489,23603,446156075.0,12558,0.532051,0.521466,144611870.532309,0.324128
490,499,51765,991210550.0,23169,0.44758,0.436684,269154373.564221,0.271541
500,509,86957,1609340075.0,31924,0.367124,0.354265,354881197.160317,0.220513
510,519,132877,2207354075.0,40199,0.302528,0.279392,384305574.837128,0.174102
520,529,194882,2809756175.0,47439,0.243424,0.215322,376705326.367632,0.13407
530,539,247672,3241520975.0,46635,0.188293,0.162932,328529847.735595,0.101351
540,549,240279,3051791825.0,33882,0.141011,0.121251,229988966.561746,0.075362
550,559,173706,2263575875.0,17751,0.10219,0.089043,125174657.71114,0.0553
560,569,101237,1396070025.0,7523,0.074311,0.064692,56092526.106923,0.040179
570,579,52591,751582475.0,2650,0.050389,0.046724,21821311.68834,0.029034
580,589,24156,348597225.0,847,0.035064,0.033795,7308080.324612,0.020964
590,599,8918,129438150.0,204,0.022875,0.024469,1962651.143198,0.015163
600,609,1876,27059200.0,34,0.018124,0.017808,299014.906982,0.01105
610,619,109,1588025.0,3,0.027523,0.013196,13117.982169,0.008261
