segment,decile,loans,predicted_pd,observed_rate,pd_min,pd_max,ratio_observed_to_predicted
train,1,82936,0.0485,0.0448,0.0103,0.066,0.9242
train,2,82935,0.0784,0.0768,0.066,0.0897,0.9801
train,3,82936,0.1003,0.1019,0.0897,0.1106,1.0163
train,4,82935,0.1209,0.1225,0.1106,0.1314,1.0134
train,5,82936,0.1425,0.1436,0.1314,0.1542,1.0078
train,6,82935,0.1673,0.169,0.1542,0.1814,1.0098
train,7,82935,0.198,0.1991,0.1814,0.2164,1.0057
train,8,82936,0.2402,0.2443,0.2164,0.2677,1.0172
train,9,82935,0.306,0.3041,0.2677,0.3529,0.9938
train,10,82936,0.4429,0.4394,0.3529,0.7641,0.9921
test,1,51875,0.0443,0.0595,0.0119,0.0612,1.3433
test,2,51874,0.0738,0.103,0.0612,0.0854,1.3965
test,3,51874,0.0961,0.1327,0.0854,0.1066,1.3805
test,4,51875,0.117,0.1667,0.1066,0.1275,1.4252
test,5,51874,0.1385,0.1948,0.1275,0.1498,1.4072
test,6,51874,0.1622,0.2261,0.1498,0.1754,1.3938
test,7,51875,0.1908,0.2536,0.1754,0.2075,1.3297
test,8,51874,0.2284,0.2944,0.2075,0.2526,1.2889
test,9,51874,0.2877,0.3472,0.2526,0.3319,1.2068
test,10,51875,0.4231,0.4638,0.3319,0.7742,1.0963
test_2016,1,29311,0.0461,0.0614,0.0125,0.0636,1.3337
test_2016,2,29310,0.0766,0.1046,0.0636,0.0884,1.3668
test_2016,3,29311,0.0992,0.1378,0.0884,0.1097,1.3895
test_2016,4,29310,0.1202,0.1709,0.1097,0.1306,1.4224
test_2016,5,29311,0.1417,0.2014,0.1306,0.1531,1.4213
test_2016,6,29310,0.1654,0.2309,0.1531,0.1786,1.3957
test_2016,7,29310,0.1936,0.2583,0.1786,0.2101,1.3342
test_2016,8,29311,0.2309,0.303,0.2101,0.255,1.3124
test_2016,9,29310,0.29,0.3667,0.255,0.3346,1.2646
test_2016,10,29311,0.4286,0.4935,0.3346,0.7742,1.1512
test_2017,1,16933,0.0435,0.0631,0.0121,0.06,1.452
test_2017,2,16932,0.0727,0.1103,0.06,0.0844,1.5161
test_2017,3,16932,0.0949,0.1403,0.0844,0.1053,1.4776
test_2017,4,16932,0.1156,0.1754,0.1053,0.1261,1.5174
test_2017,5,16932,0.1371,0.2059,0.1261,0.1484,1.5021
test_2017,6,16932,0.1607,0.2324,0.1484,0.1738,1.4461
test_2017,7,16932,0.1893,0.2696,0.1738,0.2062,1.4239
test_2017,8,16932,0.2271,0.3072,0.2062,0.2513,1.3523
test_2017,9,16932,0.2861,0.3508,0.2513,0.3298,1.2259
test_2017,10,16932,0.4173,0.4584,0.3298,0.7201,1.0986
test_2018,1,5632,0.0394,0.0499,0.0119,0.0533,1.2679
test_2018,2,5632,0.0644,0.0737,0.0533,0.0749,1.1449
test_2018,3,5632,0.0847,0.0925,0.0749,0.0946,1.0919
test_2018,4,5631,0.1046,0.1188,0.0946,0.1147,1.1357
test_2018,5,5632,0.1255,0.1364,0.1147,0.1366,1.087
test_2018,6,5632,0.149,0.1639,0.1366,0.1625,1.0996
test_2018,7,5631,0.1784,0.185,0.1625,0.1962,1.037
test_2018,8,5632,0.2179,0.2054,0.1962,0.2432,0.9426
test_2018,9,5632,0.2802,0.2333,0.2432,0.3247,0.8326
test_2018,10,5632,0.4111,0.3168,0.3247,0.7108,0.7705
test_gradient_boosting,1,51875,0.0404,0.0506,0.008,0.0576,1.2543
test_gradient_boosting,2,51874,0.0703,0.0976,0.0576,0.0821,1.3875
test_gradient_boosting,3,51874,0.0933,0.1313,0.0821,0.1043,1.4081
test_gradient_boosting,4,51875,0.1155,0.163,0.1043,0.127,1.4109
test_gradient_boosting,5,51874,0.1392,0.1921,0.127,0.1519,1.3804
test_gradient_boosting,6,51874,0.166,0.2261,0.1519,0.181,1.3623
test_gradient_boosting,7,51875,0.1984,0.259,0.181,0.2174,1.3055
test_gradient_boosting,8,51874,0.2406,0.2964,0.2174,0.2671,1.2319
test_gradient_boosting,9,51874,0.3041,0.3539,0.2671,0.3498,1.1637
test_gradient_boosting,10,51875,0.4414,0.472,0.3498,0.7542,1.0692
