portfolio,cutoff,approved_loans,approval_rate_pct,approved_volume_usd,volume_share_pct,volume_lost_pct,approved_bad_rate_pct,approved_mean_pd_pct,expected_loss_usd,el_rate_pct,el_rate_reduction_pct,el_absolute_reduction_pct,rejected_good_loans,rejected_good_share_pct,rejected_bad_share_pct,rejected_bad_rate_pct
test (2016-2018),450,518744,100.0,7499941000.0,100.0,0.0,22.419,17.617,887345899.684,11.831,0.0,0.0,0,0.0,0.0,
test (2016-2018),455,518743,100.0,7499927800.0,100.0,0.0,22.418,17.617,887339542.969,11.831,0.001,0.001,0,0.0,0.001,100.0
test (2016-2018),460,518737,99.999,7499809950.0,99.998,0.002,22.418,17.616,887285747.015,11.831,0.005,0.007,1,0.0,0.005,85.714
test (2016-2018),465,518683,99.988,7498805225.0,99.985,0.015,22.413,17.611,886844887.968,11.826,0.041,0.056,17,0.004,0.038,72.131
test (2016-2018),470,518486,99.95,7495109000.0,99.936,0.064,22.396,17.592,885310454.287,11.812,0.165,0.229,84,0.021,0.15,67.442
test (2016-2018),475,517839,99.826,7482685500.0,99.77,0.23,22.345,17.536,880445352.509,11.766,0.549,0.778,319,0.079,0.504,64.751
test (2016-2018),480,516345,99.538,7453588225.0,99.382,0.618,22.231,17.416,869777543.953,11.669,1.37,1.98,895,0.222,1.293,62.693
test (2016-2018),485,513421,98.974,7396474375.0,98.62,1.38,22.02,17.203,850335295.547,11.496,2.83,4.171,2081,0.517,2.788,60.906
test (2016-2018),490,508627,98.05,7302502925.0,97.367,2.633,21.721,16.889,820843990.301,11.241,4.993,7.494,4299,1.068,5.003,57.507
test (2016-2018),495,501295,96.636,7157738675.0,95.437,4.563,21.309,16.461,779271400.291,10.887,7.981,12.18,7976,1.982,8.146,54.29
test (2016-2018),500,490880,94.629,6954369225.0,92.726,7.274,20.789,15.922,726339188.819,10.444,11.723,18.145,13616,3.383,12.252,51.134
test (2016-2018),505,477458,92.041,6695499850.0,89.274,10.726,20.186,15.309,665676674.2,9.942,15.968,24.981,21369,5.31,17.126,48.242
test (2016-2018),510,460323,88.738,6376422525.0,85.02,14.98,19.508,14.626,598873160.067,9.392,20.618,32.51,31926,7.933,22.783,45.352
test (2016-2018),515,438387,84.509,5989484675.0,79.86,20.14,18.696,13.861,526953070.584,8.798,25.639,40.615,46022,11.435,29.524,42.728
test (2016-2018),520,410725,79.177,5537113050.0,73.829,26.171,17.761,13.017,452755097.291,8.177,30.889,48.976,64672,16.07,37.273,40.129
test (2016-2018),525,376067,72.496,5011054250.0,66.815,33.185,16.667,12.082,377067290.786,7.525,36.4,57.506,89062,22.13,46.103,37.578
test (2016-2018),530,334705,64.522,4422999225.0,58.974,41.026,15.392,11.073,303175117.554,6.855,42.065,65.833,119262,29.634,55.701,35.197
test (2016-2018),535,288304,55.577,3791348375.0,50.552,49.448,14.031,10.027,234259518.201,6.179,47.776,73.6,154598,38.414,65.215,32.912
test (2016-2018),540,239313,46.133,3146996600.0,41.96,58.04,12.522,8.967,173481719.44,5.513,53.407,80.449,193103,47.982,74.232,30.894
test (2016-2018),545,191367,36.89,2531275325.0,33.751,66.249,10.992,7.936,123500314.462,4.879,58.762,86.082,232118,57.676,81.912,29.098
test (2016-2018),550,147335,28.402,1964599650.0,26.195,73.805,9.586,6.957,84064283.77,4.279,63.834,90.526,269238,66.9,87.855,27.509
test (2016-2018),555,110142,21.232,1485943150.0,19.813,80.187,8.346,6.07,55598508.162,3.742,68.375,93.734,301499,74.916,92.096,26.212
test (2016-2018),560,79880,15.399,1090335975.0,14.538,85.462,7.241,5.274,35532628.845,3.259,72.456,95.996,328353,81.589,95.026,25.181
test (2016-2018),565,56680,10.926,779961950.0,10.4,89.6,6.256,4.588,22151023.314,2.84,75.996,97.504,349315,86.797,96.951,24.401
test (2016-2018),570,38976,7.514,539162475.0,7.189,92.811,5.237,3.993,13335182.748,2.473,79.095,98.497,365514,90.822,98.245,23.814
test (2016-2018),575,26131,5.037,361178675.0,4.816,95.184,4.5,3.491,7798691.855,2.159,81.75,99.121,377494,93.799,98.989,23.369
test (2016-2018),580,16528,3.186,229193400.0,3.056,96.944,3.83,3.048,4320324.132,1.885,84.068,99.513,386554,96.05,99.456,23.03
test (2016-2018),585,9792,1.888,136305175.0,1.817,98.183,3.319,2.663,2243995.406,1.646,86.085,99.747,392982,97.648,99.721,22.786
test (2016-2018),590,5246,1.011,73966800.0,0.986,99.014,2.764,2.322,1063551.715,1.438,87.847,99.88,397348,98.733,99.875,22.619
test (2016-2018),595,2451,0.472,35002600.0,0.467,99.533,2.244,2.022,439129.301,1.255,89.396,99.951,400053,99.405,99.953,22.514
test (2016-2018),600,971,0.187,13782175.0,0.184,99.816,2.575,1.763,150819.054,1.094,90.751,99.983,401503,99.765,99.979,22.456
test (2016-2018),605,284,0.055,3815425.0,0.051,99.949,2.465,1.534,36185.686,0.948,91.984,99.996,402172,99.931,99.994,22.43
test (2016-2018),610,44,0.008,626750.0,0.008,99.992,6.818,1.333,5221.704,0.833,92.958,99.999,402408,99.99,99.997,22.42
gesamt (2007-2018),450,1348099,100.0,19412877700.0,100.0,0.0,19.981,18.129,2353161941.04,12.122,0.0,0.0,0,0.0,0.0,
gesamt (2007-2018),455,1348097,100.0,19412847500.0,100.0,0.0,19.981,18.129,2353147505.088,12.122,0.0,0.001,0,0.0,0.001,100.0
gesamt (2007-2018),460,1348080,99.999,19412509675.0,99.998,0.002,19.98,18.129,2352993267.593,12.121,0.005,0.007,4,0.0,0.006,78.947
gesamt (2007-2018),465,1347920,99.987,19409629825.0,99.983,0.017,19.974,18.122,2351730643.097,12.116,0.044,0.061,50,0.005,0.048,72.067
gesamt (2007-2018),470,1347260,99.938,19397934375.0,99.923,0.077,19.952,18.098,2346866026.993,12.099,0.191,0.268,278,0.026,0.208,66.865
gesamt (2007-2018),475,1345267,99.79,19361579425.0,99.736,0.264,19.887,18.032,2332615740.672,12.048,0.61,0.873,1001,0.093,0.68,64.654
gesamt (2007-2018),480,1340628,99.446,19275040725.0,99.29,0.71,19.753,17.89,2300848516.622,11.937,1.524,2.223,2929,0.272,1.686,60.795
gesamt (2007-2018),485,1331730,98.786,19107762525.0,98.428,1.572,19.509,17.643,2243832325.626,11.743,3.123,4.646,6817,0.632,3.546,58.354
gesamt (2007-2018),490,1317025,97.695,18828884650.0,96.992,3.008,19.154,17.276,2156236646.09,11.452,5.527,8.369,13974,1.295,6.348,55.03
gesamt (2007-2018),495,1295336,96.086,18412146475.0,94.845,5.155,18.688,16.792,2036567650.209,11.061,8.75,13.454,25472,2.361,10.132,51.724
gesamt (2007-2018),500,1265260,93.855,17837674100.0,91.886,8.114,18.106,16.196,1887082272.526,10.579,12.725,19.807,42570,3.946,14.95,48.611
gesamt (2007-2018),505,1226576,90.986,17108028700.0,88.127,11.873,17.444,15.519,1716232441.853,10.032,17.241,27.067,66128,6.13,20.565,45.584
