segment,loans,lgd_mean,lgd_median,lgd_volume_weighted
alle Ausfaelle,269360,0.622,0.6638,0.6403
train (2007-2015),153065,0.5686,0.6025,0.5849
test (2016-2018),116295,0.6923,0.729,0.7122
36 Monate,163926,0.5726,0.605,0.5778
60 Monate,105434,0.6988,0.7369,0.701
grade A,14214,0.5234,0.5422,0.5302
grade B,52661,0.5581,0.5837,0.5718
grade C,85805,0.6095,0.6464,0.6247
grade D,61264,0.6467,0.6892,0.6597
grade E,36199,0.685,0.7281,0.6934
grade F,14585,0.7202,0.7643,0.728
grade G,4632,0.7538,0.7903,0.7599
