model,variable,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV
model_a,loan_amnt,"(-inf, 3537.50)",43208,0.05209831736711058,37228,5980,0.13840029624143677,0.3428812880029972,0.005478907392473551
model_a,loan_amnt,"[3537.50, 7012.50)",132752,0.16006655774668266,113337,19415,0.14625015065686392,0.27856040781837166,0.011349902741453512
model_a,loan_amnt,"[7012.50, 9012.50)",78341,0.09446015276932074,66296,12045,0.1537509094854546,0.2197206171219801,0.004248714095603395
model_a,loan_amnt,"[9012.50, 10012.50)",78363,0.09448667940749136,65206,13157,0.16789811518190983,0.11483824249685859,0.0012012391457835905
model_a,loan_amnt,"[10012.50, 12037.50)",84138,0.10144992192728083,67806,16332,0.1941096769592812,-0.062234997209187126,0.00040067177671392756
model_a,loan_amnt,"[12037.50, 15012.50)",99383,0.11983167642324458,79940,19443,0.19563708078846484,-0.07197006518843785,0.0006348290572307559
model_a,loan_amnt,"[15012.50, 28012.50)",248266,0.2993482887303989,196072,52194,0.2102341843023209,-0.16224491739746005,0.008285754934567062
model_a,loan_amnt,"[28012.50, inf)",64904,0.07825840562847032,50405,14499,0.22339147047947738,-0.23974861538307835,0.004841202464131484
model_a,loan_amnt,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,loan_amnt,Missing,0,0.0,0,0,0.0,0.0,0.0
model_a,loan_amnt,,829355,1.0,676290,153065,0.18455908507213437,,0.03644122160795728
model_a,term_months,"(-inf, 48.00)",621022,0.7488011768181297,534418,86604,0.13945399679882517,0.33407299005385616,0.0749731041407112
model_a,term_months,"[48.00, inf)",208333,0.25119882318187026,141872,66461,0.31901331042129666,-0.7274493771781222,0.16325515541821728
model_a,term_months,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,term_months,Missing,0,0.0,0,0,0.0,0.0,0.0
model_a,term_months,,829355,1.0,676290,153065,0.18455908507213437,,0.23822825955892848
model_a,annual_inc,"(-inf, 37103.50)",117758,0.14198744807712016,92090,25668,0.21797245197778495,-0.2082380305129199,0.00656450999545396
model_a,annual_inc,"[37103.50, 45636.50)",97868,0.11800495565831279,77369,20499,0.20945559324804838,-0.1575492312531359,0.003075580136875842
model_a,annual_inc,"[45636.50, 50397.64)",62534,0.07540076324372555,49857,12677,0.20272171938465475,-0.1163897305010202,0.0010591106045073542
model_a,annual_inc,"[50397.64, 60865.00)",116491,0.14045975486974818,93357,23134,0.1985904490475659,-0.09063185344522595,0.0011868743139819401
model_a,annual_inc,"[60865.00, 70720.04)",94683,0.11416462190497435,76954,17729,0.18724586250963743,-0.017753186533921106,3.6183587565352935e-05
model_a,annual_inc,"[70720.04, 75460.70)",43900,0.05293270071320484,36051,7849,0.17879271070615035,0.03878915709466901,7.867002760559068e-05
model_a,annual_inc,"[75460.70, 85125.50)",70164,0.08460068366381103,58033,12131,0.17289493187389546,0.07948834411744121,0.0005211978440962107
model_a,annual_inc,"[85125.50, 100220.00)",80942,0.09759632485485709,68002,12940,0.1598675594870401,0.17345451707761406,0.0027774041175930185
model_a,annual_inc,"[100220.00, 127923.00)",71760,0.08652507068746194,61214,10546,0.14696209587513936,0.2728699700608499,0.005898245520760263
model_a,annual_inc,"[127923.00, inf)",73251,0.08832285330166213,63359,9892,0.1350425250167233,0.3713313045362412,0.010790888207073943
model_a,annual_inc,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,annual_inc,Missing,4,4.823025121932104e-06,4,0,0.0,0.0,0.0
model_a,annual_inc,,829355,1.0,676290,153065,0.18455908507213437,,0.03198866435551348
model_a,emp_length_years,"(-inf, 0.50)",66420,0.08008633214968258,53935,12485,0.18797049081601927,-0.022507616262270602,4.085952894139859e-05
model_a,emp_length_years,"[0.50, 1.50)",53837,0.06491430087236467,43837,10000,0.18574586251091257,-0.007866193710630576,4.0266731205457e-06
model_a,emp_length_years,"[1.50, 9.50)",397499,0.47928691573572235,324726,72773,0.18307719013129592,0.009877432170421141,4.66153680454926e-05
model_a,emp_length_years,"[9.50, inf)",268988,0.3243339703745682,221266,47722,0.1774131188008387,0.048213779799756384,0.0007425003344325765
model_a,emp_length_years,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,emp_length_years,Missing,42611,0.05137848086766222,32526,10085,0.23667597568702917,-0.31476871225784553,0.005600455960145938
model_a,emp_length_years,,829355,1.0,676290,153065,0.18455908507213437,,0.0064344578646859515
model_a,dti,"(-inf, 7.24)",80939,0.09759270758601564,70421,10518,0.12994971521763304,0.41564412861221944,0.014718998305159393
model_a,dti,"[7.24, 8.99)",42374,0.05109271662918774,36548,5826,0.13748997026478502,0.35053649624120475,0.005601448408072036
model_a,dti,"[8.99, 12.36)",104256,0.12570732677803836,88985,15271,0.14647598219766728,0.2767529008729779,0.008803536550144085
model_a,dti,"[12.36, 14.55)",78600,0.09477244364596583,66234,12366,0.15732824427480915,0.19248384476996616,0.0033007261032157445
model_a,dti,"[14.55, 17.13)",95749,0.11544995809996925,79486,16263,0.16985033786253642,0.10092900621958178,0.0011388264194792093
model_a,dti,"[17.13, 19.27)",77283,0.0931844626245697,63210,14073,0.18209696828539265,0.01644513811185,2.507042823861988e-05
model_a,dti,"[19.27, 21.04)",60740,0.073237636476539,49161,11579,0.19063220283174184,-0.03985179675586559,0.00011777849549348386
model_a,dti,"[21.04, 25.05)",117578,0.14177041194663323,93315,24263,0.2063566313425981,-0.1387309999396764,0.0028486480731288333
model_a,dti,"[25.05, 30.12)",101648,0.12256271439853862,78240,23408,0.23028490476940028,-0.2790561289091329,0.010391626017155167
